State,Action,Reward
"(('StdReg', 3), ('ExpReg', 1), ('StdReg', 3), ('ExpReg', 1), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('ExpReg', 1), ('ExpReg', 1), ('StdReg', 3), ('StdReg', 3))","(('ExpReg', 1), ('StdReg', 3), ('ExpReg', 1), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('ExpReg', 1), ('ExpReg', 1), ('StdReg', 3), ('StdReg', 3))",300.0
"(('ExpReg', 0), ('ExpReg', 1), ('ExpReg', 1), ('ExpReg', 1), ('ExpReg', 1), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3))","(('ExpReg', 0), ('ExpReg', 1), ('ExpReg', 1), ('ExpReg', 1), ('ExpReg', 1), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3))",310.01
"(('ExpReg', -1), ('ExpReg', 0), ('ExpReg', 0), ('ExpReg', 0), ('ExpReg', 0), ('ExpReg', 1), ('ExpReg', 1), ('ExpReg', 1), ('ExpReg', 1), ('ExpReg', 1), ('ExpReg', 1), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3))","(('ExpReg', -1), ('ExpReg', 0), ('ExpReg', 0), ('ExpReg', 0), ('ExpReg', 0), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3))",219.06
"(('ExpReg', -1), ('ExpReg', -1), ('ExpReg', -1), ('ExpReg', -1), ('ExpReg', -2), ('ExpReg', 0), ('ExpReg', 1), ('ExpReg', 1), ('ExpReg', 1), ('ExpReg', 1), ('SpdReg', 0), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3))","(('ExpReg', 1), ('ExpReg', 1), ('ExpReg', 1), ('ExpReg', 1), ('SpdReg', 0), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3))",-4438.0
"(('ExpReg', -1), ('ExpReg', -2), ('ExpReg', -2), ('ExpReg', -2), ('ExpReg', -2), ('ExpReg', -3), ('ExpReg', 1), ('ExpReg', 1), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3))","(('ExpReg', -2), ('ExpReg', -2), ('ExpReg', -2), ('ExpReg', 1), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3))",-3261.91
"(('ExpReg', 0), ('ExpReg', 0), ('ExpReg', 1), ('ExpReg', 1), ('ExpReg', 1), ('ExpReg', 1), ('ExpReg', 1), ('ExpReg', 1), ('StdReg', 2), ('StdReg', 2), ('StdReg', 2), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3))","(('ExpReg', 0), ('ExpReg', 0), ('ExpReg', 1), ('ExpReg', 1), ('ExpReg', 1), ('ExpReg', 1), ('ExpReg', 1), ('StdReg', 2), ('StdReg', 2), ('StdReg', 2), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3))",304.04999999999995
"(('ExpReg', 0), ('ExpReg', 0), ('ExpReg', 0), ('ExpReg', 0), ('ExpReg', 0), ('ExpReg', 1), ('ExpReg', 1), ('ExpReg', 1), ('ExpReg', 1), ('SpdReg', 0), ('StdReg', 1), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3))","(('ExpReg', 0), ('ExpReg', 0), ('ExpReg', 0), ('ExpReg', 0), ('ExpReg', 1), ('ExpReg', 1), ('ExpReg', 1), ('ExpReg', 1), ('StdReg', 1), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3))",-465.93999999999994
"(('ExpReg', -1), ('ExpReg', 1), ('ExpReg', 1), ('SpdReg', -1), ('StdReg', 2), ('StdReg', 2), ('StdReg', 2), ('StdReg', 2), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3))","(('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3))",-1352.0
"(('ExpReg', -1), ('ExpReg', 1), ('ExpReg', 1), ('ExpReg', 1), ('ExpReg', 1), ('SpdReg', 0), ('StdReg', 1), ('StdReg', 1), ('StdReg', 2), ('StdReg', 2), ('StdReg', 2), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3))","(('SpdReg', 0), ('StdReg', 1), ('StdReg', 2), ('StdReg', 2), ('StdReg', 2), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3))",-577.95
"(('ExpReg', -2), ('ExpReg', 0), ('ExpReg', 0), ('ExpReg', 0), ('ExpReg', 0), ('ExpReg', 1), ('ExpReg', 1), ('SpdReg', -1), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3))","(('ExpReg', -2), ('ExpReg', 1), ('ExpReg', 1), ('SpdReg', -1), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3), ('StdReg', 3))",-1301.97
