Request ID,SMT,Service Requested,Date,Time
1,True,Exp,20190102,0053
2,True,Exp,20190102,0113
3,False,Std,20190102,0138
4,False,Std,20190102,0445
5,True,Std,20190102,0537
6,False,Exp,20190102,0553
7,True,Std,20190102,0621
8,False,Exp,20190102,0630
9,False,Std,20190102,0714
10,False,Exp,20190102,0752
11,False,Std,20190102,0827
12,False,Std,20190102,08010
13,False,Std,20190102,0848
14,True,Std,20190102,0807
15,False,Std,20190102,0817
16,False,Std,20190103,0034
17,False,Std,20190103,0141
18,False,Exp,20190103,0145
19,False,Std,20190103,0101
20,False,Std,20190103,0459
21,False,Std,20190103,0441
22,False,Std,20190103,0544
23,False,Std,20190103,0542
24,False,Std,20190103,0536
25,False,Std,20190103,0508
26,True,Std,20190103,0541
27,False,Std,20190103,0550
28,False,Std,20190103,0623
29,False,Std,20190103,0641
30,True,Exp,20190103,0755
31,False,Std,20190103,0817
32,False,Std,20190104,0032
33,False,Exp,20190104,0018
34,False,Std,20190104,0033
35,False,Std,20190104,0019
36,False,Std,20190104,0134
37,True,Exp,20190104,0245
38,True,Std,20190104,0357
39,False,Std,20190104,0330
40,False,Std,20190104,0406
41,True,Std,20190104,0422
42,False,Exp,20190104,0438
43,True,Std,20190104,0532
44,False,Std,20190104,0554
45,True,Exp,20190104,0737
46,True,Exp,20190104,0812
47,True,Std,20190105,0049
48,False,Std,20190105,0146
49,True,Exp,20190105,0138
50,True,Spd,20190105,0229
51,True,Std,20190105,0244
52,False,Std,20190105,0201
53,False,Std,20190105,0305
54,False,Std,20190105,0307
55,False,Std,20190105,0327
56,False,Std,20190105,0348
57,False,Std,20190105,0413
58,True,Exp,20190105,0518
59,False,Std,20190105,0542
60,False,Std,20190105,0615
61,False,Std,20190105,0825
62,False,Std,20190106,00010
63,True,Exp,20190106,0123
64,False,Std,20190106,0123
65,False,Std,20190106,0443
66,True,Std,20190106,0454
67,True,Std,20190106,0539
68,False,Std,20190106,0611
69,False,Std,20190106,0725
70,False,Exp,20190106,0826
71,False,Std,20190106,0805
72,False,Std,20190107,0100
73,False,Std,20190107,0138
74,False,Exp,20190107,0140
75,False,Std,20190107,0107
76,False,Exp,20190107,0253
77,False,Std,20190107,0335
78,False,Std,20190107,0503
79,False,Std,20190107,0703
80,False,Std,20190108,0005
81,False,Std,20190108,0053
82,False,Std,20190108,0108
83,False,Std,20190108,0107
84,False,Std,20190108,0204
85,False,Std,20190108,0316
86,False,Std,20190108,0316
87,False,Std,20190108,0426
88,True,Exp,20190108,0457
89,False,Spd,20190108,0424
90,False,Std,20190108,0536
91,False,Std,20190108,0731
92,False,Std,20190108,0729
93,False,Std,20190108,0726
94,True,Std,20190108,0838
95,True,Exp,20190109,0054
96,False,Std,20190109,0057
97,True,Exp,20190109,0000
98,True,Exp,20190109,0006
99,False,Std,20190109,0031
100,False,Std,20190109,0308
101,True,Exp,20190109,0325
102,False,Exp,20190109,0402
103,False,Std,20190109,0431
104,True,Spd,20190109,0554
105,False,Std,20190109,0739
106,False,Std,20190109,07010
107,True,Exp,20190109,0805
108,False,Std,20190109,0803
109,True,Std,20190110,0028
110,True,Spd,20190110,0029
111,True,Std,20190110,0244
112,False,Std,20190110,0311
113,True,Exp,20190110,0422
114,False,Std,20190110,0455
115,False,Std,20190110,0522
116,False,Std,20190110,0529
117,True,Exp,20190110,07010
118,False,Std,20190110,0844
119,False,Std,20190111,0003
120,False,Std,20190111,0047
121,False,Exp,20190111,0138
122,False,Exp,20190111,0106
123,False,Std,20190111,0256
124,False,Std,20190111,0433
125,False,Std,20190111,0560
126,False,Std,20190111,0523
127,True,Exp,20190111,0706
128,False,Std,20190111,0816
129,True,Std,20190111,0846
130,False,Std,20190111,0827
